Airport,UniqueCarrier,Airline,Status,Delay (in min),Flight Counts,Delay Counts,Average Delay (in min),Delay Frequency (%)
JFK,MQ,Envoy Air,Departure,101106,7736,2673,37.82491582,34.55274043
JFK,NW,Northwest Airlines Inc.,Departure,23166,1931,768,30.1640625,39.77213879
JFK,OH,PSA Airlines Inc.,Departure,243556,18926,5481,44.43641671,28.96016063
JFK,UA,United Airlines Inc.,Departure,61388,5183,2034,30.18092429,39.24368127
JFK,US,US Airways Inc.,Departure,24462,2076,851,28.74500588,40.99229287
JFK,YV,Mesa Airlines Inc.,Departure,10041,641,198,50.71212121,30.88923557
LAS,AA,American Airlines Inc.,Departure,110961,7384,3231,34.34261838,43.7567714
LAS,AQ,Aloha Airlines Inc.,Departure,-487,60,3,-162.3333333,5
LAS,AS,Alaska Airlines Inc.,Departure,27503,4022,1376,19.98764535,34.21183491
LAS,B6,JetBlue Airways,Departure,46021,3744,1351,34.06439674,36.08440171
LAS,CO,Continental Airlines Inc.,Departure,60227,6138,2665,22.59924953,43.41805148
LAS,DL,Delta Airlines Inc.,Departure,48108,7042,2504,19.21246006,35.55808009
LAS,F9,Frontier Airlines Inc.,Departure,15675,2420,996,15.73795181,41.15702479
LAS,FL,AirTran Airways Co.,Departure,16172,2841,784,20.62755102,27.59591693
LAS,HA,Hawaiian Airlines Inc.,Departure,6660,732,240,27.75,32.78688525
LAS,MQ,Envoy Air,Departure,7528,1128,402,18.72636816,35.63829787
LAS,NW,Northwest Airlines Inc.,Departure,27148,4544,1059,25.63550519,23.30545775
LAS,OO,SkyWest Airlines Inc.,Departure,11610,3022,827,14.03869407,27.36598279
LAS,UA,United Airlines Inc.,Departure,121567,11228,4064,29.91313976,36.19522622
LAS,US,US Airways Inc.,Departure,235188,29310,9953,23.62986034,33.95769362
LAS,WN,Southwest Airlines Co.,Departure,1025258,85412,45776,22.39728242,53.59434272
LAS,XE,ExpressJet Airlines Inc.,Departure,319,320,83,3.843373494,25.9375
LAS,YV,Mesa Airlines Inc.,Departure,28616,3529,926,30.90280778,26.23972797
LAX,AA,American Airlines Inc.,Departure,397488,28982,12963,30.66327239,44.72776206
LAX,AS,Alaska Airlines Inc.,Departure,38838,7150,2666,14.56789197,37.28671329
LAX,CO,Continental Airlines Inc.,Departure,104229,7610,4475,23.29139665,58.80420499
LAX,DL,Delta Airlines Inc.,Departure,96634,12482,5039,19.1772177,40.37013299
LAX,F9,Frontier Airlines Inc.,Departure,16030,2219,975,16.44102564,43.93871113
LAX,FL,AirTran Airways Co.,Departure,19390,2158,798,24.29824561,36.97868397
LAX,HA,Hawaiian Airlines Inc.,Departure,7971,841,332,24.00903614,39.47681332
LAX,MQ,Envoy Air,Departure,37926,16024,3507,10.81437126,21.88592112
LAX,NW,Northwest Airlines Inc.,Departure,32338,6404,1540,20.9987013,24.04747033
LAX,OO,SkyWest Airlines Inc.,Departure,147376,42972,12475,11.81370741,29.03053151
LAX,UA,United Airlines Inc.,Departure,373275,28585,12205,30.58377714,42.69721882
LAX,US,US Airways Inc.,Departure,31584,8445,2473,12.77153255,29.28359976
LAX,WN,Southwest Airlines Co.,Departure,487008,43121,24720,19.70097087,57.32705642
LAX,XE,ExpressJet Airlines Inc.,Departure,55760,7970,2961,18.83147585,37.15181932
LAX,YV,Mesa Airlines Inc.,Departure,3157,645,129,24.47286822,20
LGA,9E,Endeavor Air Inc.,Departure,26652,2438,707,37.69731259,28.99917966
LGA,AA,American Airlines Inc.,Departure,256716,20877,7523,34.1241526,36.03487091
LGA,B6,JetBlue Airways,Departure,50414,2889,1181,42.68755292,40.87919695
LGA,CO,Continental Airlines Inc.,Departure,66169,4629,2031,32.57951748,43.87556708
LGA,DL,Delta Airlines Inc.,Departure,140121,20467,5741,24.40707194,28.05003176
LGA,EV,ExpressJet Airlines Inc.,Departure,19811,814,466,42.51287554,57.24815725
LGA,F9,Frontier Airlines Inc.,Departure,14314,927,368,38.89673913,39.69795038
LGA,FL,AirTran Airways Co.,Departure,116511,6898,2850,40.88105263,41.31632357
LGA,MQ,Envoy Air,Departure,163332,17098,5649,28.91343601,33.03895192
LGA,NW,Northwest Airlines Inc.,Departure,66662,6703,2162,30.83348751,32.25421453
LGA,OH,PSA Airlines Inc.,Departure,203414,13469,4447,45.74184844,33.01655654
LGA,UA,United Airlines Inc.,Departure,128694,7348,2995,42.96961603,40.75939031
LGA,US,US Airways Inc.,Departure,1725,13324,1985,0.869017632,14.89792855
LGA,XE,ExpressJet Airlines Inc.,Departure,7236,516,196,36.91836735,37.98449612
LGA,YV,Mesa Airlines Inc.,Departure,8442,738,183,46.13114754,24.79674797
MCO,9E,Endeavor Air Inc.,Departure,33,1,1,33,100
MCO,AA,American Airlines Inc.,Departure,165292,10535,4696,35.19846678,44.57522544
MCO,AS,Alaska Airlines Inc.,Departure,8083,968,454,17.80396476,46.90082645
MCO,B6,JetBlue Airways,Departure,218518,13632,5975,36.57205021,43.83069249
MCO,CO,Continental Airlines Inc.,Departure,94718,7129,3143,30.13617563,44.08752981
MCO,DL,Delta Airlines Inc.,Departure,89500,12306,3677,24.34049497,29.87973346
MCO,EV,ExpressJet Airlines Inc.,Departure,756,1667,256,2.953125,15.35692861
MCO,F9,Frontier Airlines Inc.,Departure,2298,718,275,8.356363636,38.30083565
MCO,FL,AirTran Airways Co.,Departure,176770,20281,6596,26.7995755,32.52305113
MCO,NW,Northwest Airlines Inc.,Departure,33386,5710,1514,22.05151915,26.51488616
MCO,OH,PSA Airlines Inc.,Departure,4905,481,148,33.14189189,30.76923077
MCO,UA,United Airlines Inc.,Departure,68795,7005,2542,27.06333596,36.28836545
MCO,US,US Airways Inc.,Departure,50691,9549,2896,17.50379834,30.32778301
MCO,WN,Southwest Airlines Co.,Departure,376747,40701,19116,19.70846411,46.96690499
MCO,XE,ExpressJet Airlines Inc.,Departure,2238,189,75,29.84,39.68253968
MSP,9E,Endeavor Air Inc.,Departure,142062,21973,6254,22.71538216,28.46220361
MSP,AA,American Airlines Inc.,Departure,59686,5652,1986,30.05337362,35.13800425
MSP,AS,Alaska Airlines Inc.,Departure,1057,133,54,19.57407407,40.60150376
MSP,CO,Continental Airlines Inc.,Departure,22434,1529,556,40.34892086,36.36363636
MSP,DL,Delta Airlines Inc.,Departure,13967,1608,648,21.55401235,40.29850746
MSP,EV,ExpressJet Airlines Inc.,Departure,4556,374,178,25.59550562,47.59358289
MSP,F9,Frontier Airlines Inc.,Departure,7360,1388,554,13.28519856,39.91354467
MSP,FL,AirTran Airways Co.,Departure,13048,2525,749,17.42056075,29.66336634
MSP,NW,Northwest Airlines Inc.,Departure,534280,78583,28684,18.62641194,36.50153341
MSP,OH,PSA Airlines Inc.,Departure,23461,1720,502,46.73505976,29.18604651
MSP,OO,SkyWest Airlines Inc.,Departure,23630,3034,1154,20.47660312,38.03559657
MSP,UA,United Airlines Inc.,Departure,57072,5335,1775,32.15323944,33.27085286
MSP,US,US Airways Inc.,Departure,7212,3179,630,11.44761905,19.81755269
MSP,XE,ExpressJet Airlines Inc.,Departure,50054,3250,1233,40.59529603,37.93846154
MSP,YV,Mesa Airlines Inc.,Departure,5,6,1,5,16.66666667
ORD,9E,Endeavor Air Inc.,Departure,680,19,12,56.66666667,63.15789474
ORD,AA,American Airlines Inc.,Departure,1199350,70550,32633,36.75267367,46.2551382
ORD,AS,Alaska Airlines Inc.,Departure,29222,1459,682,42.84750733,46.74434544
ORD,B6,JetBlue Airways,Departure,52782,2356,855,61.73333333,36.29032258
ORD,CO,Continental Airlines Inc.,Departure,140812,4992,2634,53.45937737,52.76442308
ORD,DL,Delta Airlines Inc.,Departure,44049,3539,1513,29.11368143,42.75218988
ORD,EV,ExpressJet Airlines Inc.,Departure,314,25,9,34.88888889,36
ORD,MQ,Envoy Air,Departure,1152332,87437,39504,29.1700081,45.17995814
ORD,NW,Northwest Airlines Inc.,Departure,52892,6774,1922,27.51925078,28.37319162
ORD,OH,PSA Airlines Inc.,Departure,48406,2986,995,48.64924623,33.32217013
